album_name,track_title,track_num,lyric,line
Midnights - All Editions,Lavender Haze,1,Meet me at midnight,1
Midnights - All Editions,Lavender Haze,1,Ooh ooh ooh whoa,2
Midnights - All Editions,Lavender Haze,1,Staring at the ceiling with you,3
Midnights - All Editions,Lavender Haze,1,"Oh, you don't ever say too much",4
Midnights - All Editions,Lavender Haze,1,And you don't really read into,5
Midnights - All Editions,Lavender Haze,1,My melancholia,6
Midnights - All Editions,Lavender Haze,1,"I've been under scrutiny (Yeah, oh yeah)",7
Midnights - All Editions,Lavender Haze,1,"You handle it beautifully (Yeah, oh yeah)",8
Midnights - All Editions,Lavender Haze,1,"All this shit is new to me (Yeah, oh yeah)",9
Midnights - All Editions,Lavender Haze,1,I feel the lavender haze creeping up on me,10
Midnights - All Editions,Lavender Haze,1,Surreal,11
Midnights - All Editions,Lavender Haze,1,I'm damned if I do give a damn what people say,12
Midnights - All Editions,Lavender Haze,1,No deal,13
Midnights - All Editions,Lavender Haze,1,The 1950s' shit they want from me,14
Midnights - All Editions,Lavender Haze,1,I just wanna stay in that lavender haze,15
Midnights - All Editions,Lavender Haze,1,Ooh ooh ooh whoa,16
Midnights - All Editions,Lavender Haze,1,All they keep asking me,17
Midnights - All Editions,Lavender Haze,1,(All they keep asking me),18
Midnights - All Editions,Lavender Haze,1,Is if I'm gonna be your bride,19
Midnights - All Editions,Lavender Haze,1,The only kinda girl they see,20
Midnights - All Editions,Lavender Haze,1,(Only kinda girl they see),21
Midnights - All Editions,Lavender Haze,1,Is a one-night or a wife,22
Midnights - All Editions,Lavender Haze,1,"I find it dizzying (Yeah, oh yeah)",23
Midnights - All Editions,Lavender Haze,1,"They're bringing up my history (Yeah, oh yeah)",24
Midnights - All Editions,Lavender Haze,1,"But you weren't even listening (Yeah, oh yeah)",25
Midnights - All Editions,Lavender Haze,1,I feel the lavender haze creeping up on me,26
Midnights - All Editions,Lavender Haze,1,Surreal,27
Midnights - All Editions,Lavender Haze,1,I'm damned if I do give a damn what people say,28
Midnights - All Editions,Lavender Haze,1,No deal,29
Midnights - All Editions,Lavender Haze,1,The 1950s' shit they want from me,30
Midnights - All Editions,Lavender Haze,1,I just wanna stay in that lavender haze,31
Midnights - All Editions,Lavender Haze,1,That lavender haze,32
Midnights - All Editions,Lavender Haze,1,Talk your talk and go viral,33
Midnights - All Editions,Lavender Haze,1,I just need this love spiral,34
Midnights - All Editions,Lavender Haze,1,Get it off your chest,35
Midnights - All Editions,Lavender Haze,1,Get it off my desk,36
Midnights - All Editions,Lavender Haze,1,(Get it off my desk),37
Midnights - All Editions,Lavender Haze,1,Talk your talk and go viral,38
Midnights - All Editions,Lavender Haze,1,I just need this love spiral,39
Midnights - All Editions,Lavender Haze,1,Get it off your chest,40
Midnights - All Editions,Lavender Haze,1,Get it off my desk,41
Midnights - All Editions,Lavender Haze,1,I feel (I feel) the lavender haze creeping up on me,42
Midnights - All Editions,Lavender Haze,1,Surreal,43
Midnights - All Editions,Lavender Haze,1,I'm damned if I do give a damn what people say,44
Midnights - All Editions,Lavender Haze,1,No deal (No deal),45
Midnights - All Editions,Lavender Haze,1,The 1950s' shit they want from me,46
Midnights - All Editions,Lavender Haze,1,I just wanna stay in that lavender haze,47
Midnights - All Editions,Lavender Haze,1,Ooh ooh ooh whoa,48
Midnights - All Editions,Lavender Haze,1,Get it off your chest,49
Midnights - All Editions,Lavender Haze,1,Get it off my desk,50
Midnights - All Editions,Lavender Haze,1,That lavender haze,51
Midnights - All Editions,Lavender Haze,1,I just wanna stay,52
Midnights - All Editions,Lavender Haze,1,I just wanna stay in that lavender haze,53
Midnights - All Editions,Maroon,2,"When the morning came, we",1
Midnights - All Editions,Maroon,2,Were cleaning incense off your,2
Midnights - All Editions,Maroon,2,Vinyl shelf 'cause we lost track of time again,3
Midnights - All Editions,Maroon,2,Laughing with my feet in your lap,4
Midnights - All Editions,Maroon,2,Like you were my closest friend,5
Midnights - All Editions,Maroon,2,"""How'd we end up on the floor anyway?""",6
Midnights - All Editions,Maroon,2,You say,7
Midnights - All Editions,Maroon,2,"""Your roommate's cheap-ass screw top rosé",8
