album_name,track_title,track_num,lyric,line
Speak Now Taylor's Version,Mine,1,"You were in college, working part-time, waiting tables",1
Speak Now Taylor's Version,Mine,1,Left a small town and never looked back,2
Speak Now Taylor's Version,Mine,1,"I was a flight risk, with a fear of falling",3
Speak Now Taylor's Version,Mine,1,"Wondering why we bother with love, if it never lasts",4
Speak Now Taylor's Version,Mine,1,"I say, ""Can you believe it?""",5
Speak Now Taylor's Version,Mine,1,As we're lying on the couch,6
Speak Now Taylor's Version,Mine,1,"The moment, I could see it",7
Speak Now Taylor's Version,Mine,1,"Yes, yes, I can see it now",8
Speak Now Taylor's Version,Mine,1,"Do you remember, we were sitting there, by the water?",9
Speak Now Taylor's Version,Mine,1,You put your arm around me for the first time,10
Speak Now Taylor's Version,Mine,1,You made a rebel of a careless man's careful daughter,11
Speak Now Taylor's Version,Mine,1,You are the best thing that's ever been mine,12
Speak Now Taylor's Version,Mine,1,"Flash forward, and we're taking on the world together",13
Speak Now Taylor's Version,Mine,1,And there's a drawer of my things at your place,14
Speak Now Taylor's Version,Mine,1,You learn my secrets and you figure out why I'm guarded,15
Speak Now Taylor's Version,Mine,1,You say we'll never make my parents' mistakes,16
Speak Now Taylor's Version,Mine,1,But we got bills to pay,17
Speak Now Taylor's Version,Mine,1,We got nothing figured out,18
Speak Now Taylor's Version,Mine,1,When it was hard to take,19
Speak Now Taylor's Version,Mine,1,"Yes, yes",20
Speak Now Taylor's Version,Mine,1,This is what I thought about:,21
Speak Now Taylor's Version,Mine,1,"Do you remember, we were sitting there, by the water?",22
Speak Now Taylor's Version,Mine,1,You put your arm around me for the first time,23
Speak Now Taylor's Version,Mine,1,You made a rebel of a careless man's careful daughter,24
Speak Now Taylor's Version,Mine,1,You are the best thing that's ever been mine,25
Speak Now Taylor's Version,Mine,1,Do you remember all the city lights on the water?,26
Speak Now Taylor's Version,Mine,1,You saw me start to believe for the first time,27
Speak Now Taylor's Version,Mine,1,You made a rebel of a careless man's careful daughter,28
Speak Now Taylor's Version,Mine,1,You are the best thing that's ever been mine,29
Speak Now Taylor's Version,Mine,1,"And I remember that fight, 2:30 AM",30
Speak Now Taylor's Version,Mine,1,As everything was slipping right out of our hands,31
Speak Now Taylor's Version,Mine,1,"I ran out, crying, and you followed me out into the street",32
