album_name,year,version,num_shit,num_ass,num_damn,num_dick,num_bitch,num_hell,num_fuck,total_swears
Taylor Swift,2006,NTV,0,0,1,0,0,0,0,1
Fearless,2008,NTV,0,0,0,0,0,0,0,0
Speak Now,2010,NTV,0,0,0,0,0,0,0,0
Red,2012,NTV,0,0,0,0,0,1,2,3
1989,2014,NTV,0,0,1,0,0,3,3,7
Reputation,2017,NTV,1,0,2,0,0,0,0,3
Lover,2019,TV,0,0,1,0,2,0,0,3
Evermore,2020,TV,5,0,11,0,0,0,0,16
Folklore,2020,TV,3,0,1,0,0,1,1,6
Red Taylor's Version,2021,TV,1,0,0,0,0,1,2,4
Fearless,2021,TV,0,0,0,0,0,0,0,0
Midnight,2022,TV,11,2,12,1,0,3,3,32
Speak Now Taylor's Version,2023,TV,0,0,0,0,0,0,0,0
